Year,Recycling Type,Return Method,Sales packaging after sorting (1000t)
2010,Material recycling,Industry solutions,483.8
2010,Other forms of material recycling,Industry solutions,21.9
2010,Energy utilization,Industry solutions,33.6
2010,Other forms of utilization,Industry solutions,29.7
2010,Other whereabouts,Industry solutions,126.4
2010,In total,Industry solutions,695.4
2011,Material recycling,Industry solutions,527.3
2011,Other forms of material recycling,Industry solutions,
2011,Energy utilization,Industry solutions,42.3
2011,Other forms of utilization,Industry solutions,
2011,Other whereabouts,Industry solutions,94.9
2011,In total,Industry solutions,716.4
2012,Material recycling,Industry solutions,550.8
2012,Other forms of material recycling,Industry solutions,
2012,Energy utilization,Industry solutions,31.3
2012,Other forms of utilization,Industry solutions,
2012,Other whereabouts,Industry solutions,112.1
2012,In total,Industry solutions,762.8
2013,Material recycling,Industry solutions,602.4
2013,Other forms of material recycling,Industry solutions,
2013,Energy utilization,Industry solutions,34.5
2013,Other forms of utilization,Industry solutions,
2013,Other whereabouts,Industry solutions,107.0
2013,In total,Industry solutions,829.2
2014,Material recycling,Industry solutions,631.6
2014,Other forms of material recycling,Industry solutions,
2014,Energy utilization,Industry solutions,41.8
2014,Other forms of utilization,Industry solutions,
2014,Other whereabouts,Industry solutions,157.9
2014,In total,Industry solutions,875.7
2015,Material recycling,Industry solutions,40.8
2015,Other forms of material recycling,Industry solutions,3.6
2015,Energy utilization,Industry solutions,1.9
2015,Other forms of utilization,Industry solutions,
2015,Other whereabouts,Industry solutions,8.5
2015,In total,Industry solutions,54.8
2016,Material recycling,Industry solutions,43.0
2016,Other forms of material recycling,Industry solutions,
2016,Energy utilization,Industry solutions,1.9
2016,Other forms of utilization,Industry solutions,
2016,Other whereabouts,Industry solutions,10.0
2016,In total,Industry solutions,58.5
2017,Material recycling,Industry solutions,44.4
2017,Other forms of material recycling,Industry solutions,
2017,Energy utilization,Industry solutions,2.3
2017,Other forms of utilization,Industry solutions,
2017,Other whereabouts,Industry solutions,
2017,In total,Industry solutions,59.3
2018,Material recycling,Industry solutions,43.9
2018,Other forms of material recycling,Industry solutions,
2018,Energy utilization,Industry solutions,2.6
2018,Other forms of utilization,Industry solutions,
2018,Other whereabouts,Industry solutions,
2018,In total,Industry solutions,57.2
2019,Material recycling,Industry solutions,29.5
2019,Other forms of material recycling,Industry solutions,2.2
2019,Energy utilization,Industry solutions,2.0
2019,Other forms of utilization,Industry solutions,
2019,Other whereabouts,Industry solutions,5.6
2019,In total,Industry solutions,39.3
2020,Material recycling,Industry solutions,18.2
2020,Other forms of material recycling,Industry solutions,
2020,Energy utilization,Industry solutions,1.2
2020,Other forms of utilization,Industry solutions,
2020,Other whereabouts,Industry solutions,
2020,In total,Industry solutions,25.0
2010,Material recycling,System operators,3530.7
2010,Other forms of material recycling,System operators,125.5
2010,Energy utilization,System operators,1010.4
2010,Other forms of utilization,System operators,47.8
2010,Other whereabouts,System operators,284.2
2010,In total,System operators,4998.5
2011,Material recycling,System operators,3709.6
2011,Other forms of material recycling,System operators,
2011,Energy utilization,System operators,979.1
2011,Other forms of utilization,System operators,
2011,Other whereabouts,System operators,266.2
2011,In total,System operators,4994.6
2012,Material recycling,System operators,3580.1
2012,Other forms of material recycling,System operators,
2012,Energy utilization,System operators,1026.8
2012,Other forms of utilization,System operators,
2012,Other whereabouts,System operators,382.9
2012,In total,System operators,5094.0
2013,Material recycling,System operators,3701.2
2013,Other forms of material recycling,System operators,
2013,Energy utilization,System operators,1110.6
2013,Other forms of utilization,System operators,
2013,Other whereabouts,System operators,366.9
2013,In total,System operators,5367.5
2014,Material recycling,System operators,3593.0
2014,Other forms of material recycling,System operators,164.3
2014,Energy utilization,System operators,1113.1
2014,Other forms of utilization,System operators,
2014,Other whereabouts,System operators,317.6
2014,In total,System operators,5188.0
2015,Material recycling,System operators,3930.8
2015,Other forms of material recycling,System operators,43.7
2015,Energy utilization,System operators,1165.6
2015,Other forms of utilization,System operators,
2015,Other whereabouts,System operators,323.5
2015,In total,System operators,5463.7
2016,Material recycling,System operators,3935.5
2016,Other forms of material recycling,System operators,
2016,Energy utilization,System operators,1144.4
2016,Other forms of utilization,System operators,
2016,Other whereabouts,System operators,278.9
2016,In total,System operators,5392.4
2017,Material recycling,System operators,3879.0
2017,Other forms of material recycling,System operators,
2017,Energy utilization,System operators,1211.5
2017,Other forms of utilization,System operators,
2017,Other whereabouts,System operators,118.9
2017,In total,System operators,5332.5
2018,Material recycling,System operators,3947.7
2018,Other forms of material recycling,System operators,
2018,Energy utilization,System operators,1189.4
2018,Other forms of utilization,System operators,
2018,Other whereabouts,System operators,128.3
2018,In total,System operators,5346.6
2019,Material recycling,System operators,4161.0
2019,Other forms of material recycling,System operators,
2019,Energy utilization,System operators,899.8
2019,Other forms of utilization,System operators,
2019,Other whereabouts,System operators,339.6
2019,In total,System operators,5596.0
2020,Material recycling,System operators,5079.9
2020,Other forms of material recycling,System operators,
2020,Energy utilization,System operators,779.5
2020,Other forms of utilization,System operators,
2020,Other whereabouts,System operators,452.1
2020,In total,System operators,6410.9
2010,Material recycling,Overall,4014.5
2010,Other forms of material recycling,Overall,147.3
2010,Energy utilization,Overall,1044.0
2010,Other forms of utilization,Overall,77.5
2010,Other whereabouts,Overall,410.5
2010,In total,Overall,5693.9
2011,Material recycling,Overall,4236.9
2011,Other forms of material recycling,Overall,58.0
2011,Energy utilization,Overall,1021.4
2011,Other forms of utilization,Overall,33.6
2011,Other whereabouts,Overall,361.1
2011,In total,Overall,5711.0
2012,Material recycling,Overall,4131.0
2012,Other forms of material recycling,Overall,121.8
2012,Energy utilization,Overall,1058.1
2012,Other forms of utilization,Overall,51.0
2012,Other whereabouts,Overall,495.0
2012,In total,Overall,5856.8
2013,Material recycling,Overall,4303.6
2013,Other forms of material recycling,Overall,224.0
2013,Energy utilization,Overall,1145.1
2013,Other forms of utilization,Overall,50.0
2013,Other whereabouts,Overall,473.9
2013,In total,Overall,6196.6
2014,Material recycling,Overall,4224.6
2014,Other forms of material recycling,Overall,
