Year,Packaging Description,Disposal Of Packaging From Sorting systems (in-house and third-party),Disposal Of Packaging From Recycling Companies (including waste materials trading),Total Disposal Of Packaging
2001,Packaging For Non-Polluting Goods Made From Glass,22.8,55.7,78.5
2001,"Packaging For Harmful Substances And Filling Goods A. Paper, Cardboard",1327.7,1790.1,3117.8
2001,Packaging For Hazardous Materials Filled With Metals,39.4,75.3,114.7
2001,Packaging For Harmful Substances Filled With Plastics,108.4,127.8,236.2
2001,Packaging For Non-Polluting Goods Made From Wood,162.0,259.5,421.6
2001,Packaging For Non-Toxic Filling Goods From Composites,24.3,13.8,38.1
2001,Packaging For Harmful Substances And Filling Goods A. Otherwise. Mater.,433.9,97.5,531.4
2001,Packaging For Filling Goods Containing Pollutants,2.5,3.3,5.7
2001,In Total,2121.0,2423.0,4544.0
2002,Packaging For Non-Polluting Goods Made From Glass,37.4,44.3,81.7
2002,"Packaging For Harmful Substances And Filling Goods A. Paper, Cardboard",1377.5,1662.0,3039.5
2002,Packaging For Hazardous Materials Filled With Metals,34.6,73.0,107.6
2002,Packaging For Harmful Substances Filled With Plastics,110.6,127.8,238.5
2002,Packaging For Non-Polluting Goods Made From Wood,144.4,261.6,406.0
2002,Packaging For Non-Toxic Filling Goods From Composites,38.8,12.9,51.7
2002,Packaging For Harmful Substances And Filling Goods A. Otherwise. Mater.,547.3,76.8,624.2
2002,Packaging For Filling Goods Containing Pollutants,1.4,4.3,5.7
2002,In Total,2292.2,2262.7,4554.9
2003,Packaging For Non-Polluting Goods Made From Glass,36.9,49.8,86.7
2003,"Packaging For Harmful Substances And Filling Goods A. Paper, Cardboard",1256.2,1695.4,2951.5
2003,Packaging For Hazardous Materials Filled With Metals,33.4,107.6,141.0
2003,Packaging For Harmful Substances Filled With Plastics,128.8,121.8,250.5
2003,Packaging For Non-Polluting Goods Made From Wood,156.6,246.9,403.6
2003,Packaging For Non-Toxic Filling Goods From Composites,12.4,16.6,29.0
2003,Packaging For Harmful Substances And Filling Goods A. Otherwise. Mater.,534.6,76.5,611.1
2003,Packaging For Filling Goods Containing Pollutants,2.0,4.7,6.7
2003,In Total,2160.8,2319.3,4480.1
2004,Packaging For Non-Polluting Goods Made From Glass,28.2,71.0,99.2
2004,"Packaging For Harmful Substances And Filling Goods A. Paper, Cardboard",1402.3,1661.1,3063.4
2004,Packaging For Hazardous Materials Filled With Metals,38.0,74.5,112.5
2004,Packaging For Harmful Substances Filled With Plastics,109.0,160.7,269.6
2004,Packaging For Non-Polluting Goods Made From Wood,189.1,241.3,430.4
2004,Packaging For Non-Toxic Filling Goods From Composites,13.5,24.8,38.3
2004,Packaging For Harmful Substances And Filling Goods A. Otherwise. Mater.,507.7,120.4,628.2
2004,Packaging For Filling Goods Containing Pollutants,1.1,4.2,5.3
2004,In Total,2288.9,2358.0,4646.9
2005,Packaging For Non-Polluting Goods Made From Glass,54.7,46.8,101.6
2005,"Packaging For Harmful Substances And Filling Goods A. Paper, Cardboard",1496.2,1645.3,3141.5
2005,Packaging For Hazardous Materials Filled With Metals,40.4,67.8,108.2
2005,Packaging For Harmful Substances Filled With Plastics,113.9,145.8,259.7
2005,Packaging For Non-Polluting Goods Made From Wood,147.5,256.5,404.0
2005,Packaging For Non-Toxic Filling Goods From Composites,7.5,7.7,15.2
2005,Packaging For Harmful Substances And Filling Goods A. Otherwise. Mater.,540.1,104.9,645.0
2005,Packaging For Filling Goods Containing Pollutants,2.7,7.4,10.1
2005,In Total,2403.1,2282.1,4685.1
2006,Packaging For Non-Polluting Goods Made From Glass,64.4,51.4,115.9
2006,"Packaging For Harmful Substances And Filling Goods A. Paper, Cardboard",1354.7,1781.7,3136.5
2006,Packaging For Hazardous Materials Filled With Metals,18.5,76.8,95.3
2006,Packaging For Harmful Substances Filled With Plastics,102.9,177.9,280.8
2006,Packaging For Non-Polluting Goods Made From Wood,121.6,262.1,383.6
