Year,Waste Type,Amount Of Household Waste (1000t),Amount Of Household Waste Per Inhabitant (kg),Household Waste Disposed By The First Recipient (1000t),Household Waste Recycled By The First Recipient (1000t)
2004,Household and bulky waste,17045.8,207.0,16049.6,996.2
2004,"Household waste, commercial waste similar to household waste",14452.4,175.0,14034.0,418.4
2004,Bulky waste,2593.4,31.0,2015.6,577.8
2004,Organic waste collected separately,8411.4,102.0,43.8,8367.6
2004,Waste from the bio bin,4121.1,50.0,13.4,4107.8
2004,"Biodegradable waste (garden, park waste)",4290.3,52.0,30.5,4259.8
2004,Separately collected recyclables,11570.6,140.0,47.4,11523.1
2004,Glas,2126.7,26.0,6.2,2120.4
2004,"Mixed valuables/packaging (incl. light packaging), composites",2376.1,29.0,27.5,2348.5
2004,"Paper, Cardboard, Cardboard (PPK)",5866.4,71.0,4.1,5862.3
2004,metals,408.5,5.0,0.1,408.4
2004,Holz,582.8,7.0,4.3,578.5
2004,Plastics,127.7,2.0,3.5,124.2
2004,textiles,82.4,1.0,1.6,80.8
2004,Waste electrical appliances,302.6,4.0,1.8,294.9
2004,other waste,253.5,3.0,146.0,105.4
2004,Other hazardous waste,44.3,1.0,23.4,19.0
2004,Other non-hazardous waste,209.2,3.0,122.6,86.4
2004,In total,37583.9,456.0,16288.7,21287.3
2005,Household and bulky waste,16777.4,204.0,15378.8,1398.6
2005,"Household waste, commercial waste similar to household waste",14327.7,174.0,13717.2,610.5
2005,Bulky waste,2449.7,30.0,1661.6,788.1
2005,Organic waste collected separately,8337.1,101.0,35.4,8301.6
2005,Waste from the organic waste bin,4082.8,50.0,17.3,4065.5
2005,"Biodegradable waste (garden, park waste)",4254.3,52.0,18.2,4236.1
2005,Recyclable materials collected separately,11665.7,142.0,62.5,11603.3
2005,Glas,1995.4,24.0,1.0,1994.4
2005,"Mixed value/packaging (incl. light packaging), composites",2462.1,30.0,51.0,2411.2
2005,"Paper, Cardboard, Cardboard (PPK)",5925.7,72.0,1.4,5924.3
2005,metals,374.5,5.0,0.0,374.4
2005,Holz,728.9,9.0,3.7,725.2
2005,Plastics,83.1,1.0,4.0,79.2
2005,textiles,96.0,1.0,1.4,94.7
2005,Waste electrical appliances,306.8,4.0,5.1,301.7
2005,other waste,162.3,2.0,65.6,96.7
2005,Other hazardous waste,40.6,0.0,22.5,18.1
2005,Other non-hazardous waste,121.6,1.0,43.1,78.6
2005,In total,37249.3,452.0,15547.4,21701.8
2006,Household and bulky waste,16686.9,203.0,14986.5,1700.3
2006,"Household waste, commercial waste similar to household waste",14238.1,173.0,13401.9,836.1
2006,Bulky waste,2448.8,30.0,1584.6,864.2
2006,Organic waste collected separately,8449.8,103.0,71.6,8378.2
2006,Waste from the organic waste bin,4150.0,50.0,9.2,4140.8
2006,"Biodegradable waste (garden, park waste)",4299.7,52.0,62.3,4237.4
2006,Recyclable materials collected separately,12037.1,146.0,469.6,11567.5
2006,Glas,1998.1,24.0,3.9,1994.2
2006,"Mixed value/packaging (incl. light packaging), composites",2515.0,31.0,340.0,2175.0
2006,"Paper, Cardboard, Cardboard (PPK)",6131.8,74.0,2.3,6129.4
2006,metals,312.7,4.0,1.1,311.6
2006,Holz,879.6,11.0,81.2,798.5
2006,Plastics,107.7,1.0,39.8,67.8
2006,textiles,92.3,1.0,1.3,91.0
2006,Waste electrical appliances,,,,
2006,Other waste,162.9,2.0,54.5,104.2
2006,Other hazardous waste,43.2,1.0,22.4,16.6
2006,Other non-hazardous waste,119.8,1.0,32.1,87.6
2006,In total,37336.7,454.0,15582.2,21750.2
2007,Household and bulky waste,16441.6,200.0,14895.0,1546.6
2007,"Household waste, commercial waste similar to household waste",14086.8,171.0,13393.4,693.4
2007,Bulky waste,2354.8,29.0,1501.7,853.1
2007,Organic waste collected separately,8780.2,107.0,4.4,8775.8
2007,Waste from the organic waste bin,4215.2,51.0,2.0,4213.2
2007,"Biodegradable waste (garden, park waste)",4565.0,56.0,2.4,4562.6
2007,Separately collected recyclables,11973.3,146.0,432.0,11541.3
2007,Glas,1951.7,24.0,2.2,1949.6
2007,"Mixed valuables/packaging (incl. light packaging), composites",2454.8,30.0,311.0,2143.7
2007,"Paper, cardboard, cardboard (PPK)",6159.3,75.0,3.7,6155.6
2007,metals,280.1,3.0,0.6,279.5
2007,Holz,933.4,11.0,78.4,855.0
2007,Plastics,98.3,1.0,34.9,63.4
2007,textiles,95.7,1.0,1.3,94.5
2007,Waste electrical appliances,,,,
2007,Other waste,162.0,2.0,65.0,96.9
2007,Other hazardous waste,42.2,1.0,26.0,16.2
2007,Other non-hazardous waste,119.8,1.0,39.1,80.7
2007,In total,37357.0,454.0,15396.4,21960.6
2008,Household and bulky waste,16096.5,196.0,14495.2,1601.3
2008,"Household waste, commercial waste similar to household waste",13796.8,168.0,13043.8,753.0
2008,Bulky waste,2299.7,28.0,1451.4,848.3
2008,Organic waste collected separately,8743.0,107.0,12.5,8730.5
2008,Waste from the organic waste bin,4212.3,51.0,8.9,4203.4
2008,"Biodegradable waste (garden, park waste)",4530.7,55.0,3.6,4527.1
2008,Separately collected recyclables,11721.0,143.0,411.4,11309.6
2008,Glas,1909.9,23.0,0.8,1909.1
2008,"Mixed valuables/packaging (incl. light packaging), composites",2463.4,30.0,317.1,2146.3
2008,"Paper, cardboard, cardboard (PPK)",6006.9,73.0,2.4,6004.5
2008,metals,246.7,3.0,0.3,246.4
2008,Holz,935.6,11.0,73.6,861.9
2008,Plastics,58.5,1.0,15.7,42.8
2008,textiles,100.2,1.0,1.6,98.6
2008,Waste electrical appliances,,,,
2008,other waste,162.3,2.0,66.9,95.4
