Year,EAV Code,Waste Type,Waste disposal facilities,Input from waste disposal facilities (1000t),Waste generated in-house (1000t),Waste delivered from within the country (1000t),Waste delivered from abroad (1000t)
2017,EAV-010101-U,Waste from mining v. metal-containing mineral resources,,,,,
2017,EAV-010102-U,Waste from mining v. non-metal Mineral resources,15.0,26619.5,26619.5,0.0,
2017,EAV-010304-G,Acid-forming processing residues a. sul. ore,,,,,
2017,EAV-010305-G,Other processing residues containing hazardous substances,,,,,
2017,EAV-010306-U,Processing residues (without 010304 and 010305),10.0,6.3,3.6,2.7,
2017,EAV-010307-G,Waste from processing metal-bearing mineral resources,,,,,
2017,EAV-010308-U,Dusty and powdery waste (without 010307),,,,,
2017,EAV-010309-U,Alumina Red Mud Manufacturing(oh.010310),,,,,
2017,EAV-010310-G,Red mud with dangerous substances (without 010307),,,,,
2017,EAV-010399-U,processing from metalh. Mineral resources: wastes n.e.c.,,,,,
2017,EAV-010407-G,Waste for further processing non-metal Mineral resources,8.0,23.9,0.0,23.2,0.7
2017,EAV-010408-U,Gravel and quarry waste (without 010407),26.0,897.6,835.2,62.3,
2017,EAV-010409-U,sand and clay waste,19.0,39.7,25.6,14.1,
2017,EAV-010410-U,Dusty and powdery waste (without 010407),24.0,5.9,1.7,4.3,
2017,EAV-010411-U,Waste from processing of potash and rock salt (oh.010407),11.0,1357.2,1321.0,36.2,
2017,EAV-010412-U,"reprocessing including waste (oh.010407,010411)",6.0,31.9,31.3,0.6,
2017,EAV-010413-U,Waste from stonemasonry and sawing work (excluding 010407),35.0,46.2,36.6,9.6,
2017,EAV-010499-U,processing v. non-metal Bodensch.: Waste not otherwise specified,4.0,0.2,0.0,0.2,
2017,EAV-010504-U,Muds and waste from freshwater wells,27.0,6.7,0.1,6.6,
2017,EAV-010505-G,Oily drilling muds and wastes,14.0,76.7,,76.7,
2017,EAV-010506-G,Drilling muds and other drilling waste with hazardous fabrics,5.0,1.2,0.0,1.2,
2017,EAV-010507-U,"Barite-bearing drillings, waste (oh.010505,010506)",,,,,
2017,EAV-010508-U,"Chloride content. Drilling cuttings, waste (oh.010505,010506)",16.0,30.5,,30.5,
2017,EAV-010599-U,drilling muds and. other construction waste: waste not otherwise specified,,,,,
2017,EAV-020101-U,"Agriculture, among other things: sludges from washing and cleaning processes.",6.0,12.1,,12.1,
2017,EAV-020102-U,Agriculture i.a.: Waste from animal tissue,8.0,59.3,,59.3,
2017,EAV-020103-U,"Agriculture, among other things: waste from plant tissue",247.0,516.2,56.2,457.8,2.3
2017,EAV-020104-U,Agriculture and others: plastic waste (without packaging),67.0,36.4,,32.3,4.1
2017,EAV-020106-U,"Animal excreta, manure/manure/stable manure",224.0,959.1,321.9,628.0,9.2
2017,EAV-020107-U,Waste from forestry,78.0,475.7,68.6,405.9,1.2
2017,EAV-020108-G,Agricultural chemical waste,17.0,1.2,0.0,0.9,0.3
2017,EAV-020109-U,waste v. chemistry. f.d. Agriculture(oh.020108),7.0,0.4,0.1,0.3,0.0
2017,EAV-020110-U,"Agriculture, among others: metal waste",11.0,3.5,,3.5,
2017,EAV-020199-U,Agriculture and others: waste not otherwise specified,7.0,4.4,,4.4,
2017,EAV-020201-U,Meat and others: sludge from washing and cleaning processes,12.0,22.5,18.9,3.6,
2017,EAV-020202-U,"Meat, etc.: Waste from animal tissue",24.0,189.3,,174.2,15.1
2017,EAV-020203-U,"Meat, etc.: For consumption/processing unsuitable substances",123.0,575.9,50.7,470.1,55.0
2017,EAV-020204-U,"Meat, etc.: sludge (own waste water treatment)",185.0,917.1,14.9,883.3,18.9
2017,EAV-020299-U,"processing of meat, fish, etc.: waste not otherwise specified",28.0,75.1,0.0,75.1,
2017,EAV-020301-U,"Fruit, among other things: sludge from washing and cleaning processes. among others",39.0,213.6,179.0,34.6,
2017,EAV-020302-U,"Fruit, among other things: Waste preservatives",,,,,
2017,EAV-020303-U,"Fruit, among other things: waste from extraction with solvents",,,,,
2017,EAV-020304-U,"Fruit, etc.: For consumption/processing unsuitable substances",248.0,629.4,84.5,457.3,87.6
2017,EAV-020305-U,"Fruit, among other things: sludge (in-house waste water tank)",31.0,27.2,0.1,27.0,0.1
2017,EAV-020399-U,"Processing of fruit, vegetables, etc.: waste not otherwise specified",29.0,98.7,52.8,36.0,9.9
2017,EAV-020401-U,Sugar production: beet soil,,,,,
2017,EAV-020402-U,Sugar manufacturer: Not specific. calcium carbonate sludge,,,,,
2017,EAV-020403-U,Sugar production: sludge (in-house waste water tank),,,,,
2017,EAV-020499-U,Sugar production: waste n.e.c.,6.0,106.2,103.5,2.7,
2017,EAV-020501-U,Milk processing: For consumption/processing. unsuitable,51.0,74.3,1.4,70.1,2.8
2017,EAV-020502-U,Milk processing: sludge (in-house waste water treatment),40.0,86.9,,86.8,0.0
2017,EAV-020599-U,Milk processing: waste n.e.c.,7.0,8.9,,8.9,
2017,EAV-020601-U,Bakery and confectionery: For consumption/processing. unsuitable. St.,76.0,314.2,0.2,274.7,39.3
2017,EAV-020602-U,"Baked goods, confectionery: waste from preservatives",,,,,
2017,EAV-020603-U,"Baked goods, confectionery: sludge (company waste water tank)",6.0,5.7,,5.7,
2017,EAV-020699-U,Manufacture of bakery and confectionery products: waste n.e.c.,,,,,
2017,EAV-020701-U,"Beverages: Waste from laundry, cleaning, etc.",8.0,2.1,,2.1,0.0
2017,EAV-020702-U,Beverages: Waste from alcohol distillation,27.0,307.1,292.0,15.2,
2017,EAV-020703-U,Beverages: Waste from chemical treatment,,,,,
2017,EAV-020704-U,Beverages: For consumption/processing. unsuitable substances,63.0,53.8,0.0,53.8,
2017,EAV-020705-U,Beverages: Sludge (in-house waste water tank),11.0,6.9,1.0,6.0,
2017,EAV-020799-U,Manufacture of beverages: waste n.e.c.,15.0,3.5,,3.5,
2017,EAV-030101-U,Woodworking including: bark and cork waste,26.0,476.9,280.9,196.1,
2017,EAV-030104-G,"Sawdust, shavings, cuttings, wood, chipboard",6.0,7.3,0.6,0.1,6.6
2017,EAV-030105-U,"Sawdust, chips, cuttings, wood, chipboard. (oh.030104)",473.0,2171.5,1167.0,877.4,127.1
2017,EAV-030199-U,"Wood processing, etc.: waste not otherwise specified",3.0,55.5,55.4,0.0,
2017,EAV-030201-G,Halogen-free organic wood preservatives,,,,,
2017,EAV-030202-G,Organochlorine wood preservatives,,,,,
2017,EAV-030203-G,Organometallic wood preservatives,,,,,
2017,EAV-030204-G,Inorganic wood preservatives,,,,,
2017,EAV-030205-G,Other wood preservatives containing dangerous substances,3.0,0.0,,0.0,
2017,EAV-030299-U,wood preservatives n.e.s.,,,,,
2017,EAV-030301-U,Paper production includes: bark and wood waste,29.0,157.6,107.8,49.8,
2017,EAV-030302-U,Sulphite sludge (from reclamation of cooking liquor),,,,,
2017,EAV-030305-U,Deinking sludge from paper recycling,10.0,641.5,349.4,267.6,24.5
