Year,Facility Type,Waste disposal facilities,Input from waste disposal facilities (1000t),Waste produced on-site (1000t),Waste supplied from home (1000t),Waste supplied from abroad (1000t),Waste disposal facilities with output,Output from waste disposal facilities (1000t),Waste for disposal (1000t),Waste for recycling (1000t),Waste all procedures to be prepared (1000t),Handover to others (1000t)
2006,landfills,1740.0,38727.1,9636.7,28635.8,454.6,,3752.6,2784.2,683.8,,284.5
2006,Class 0 landfills,1222.0,13337.2,1664.5,11672.7,,,394.0,146.5,183.7,,63.8
2006,Class I landfills,272.0,15811.9,6612.5,9149.1,50.3,,1258.8,995.7,133.2,,129.9
2006,Class II landfills,196.0,6691.2,394.1,6097.3,199.8,,1608.4,1240.9,362.3,,5.2
2006,Class III landfills,40.0,2715.2,965.2,1618.6,131.4,,481.4,401.1,0.0,,80.2
2006,Class IV landfills,5.0,118.3,0.3,44.9,73.1,,6.6,,1.2,,5.4
2006,Long-term storage,5.0,53.3,,53.3,,,,,,,
2006,Thermal waste treatment plants,153.0,21345.0,1570.4,19405.1,369.5,,5999.5,583.3,5283.8,,132.5
2006,Waste incineration plants,90.0,18142.1,361.6,17652.9,127.6,,5345.4,282.2,4936.4,,126.8
2006,Sewage sludge incineration plants,19.0,1669.2,833.0,777.7,58.5,,246.0,38.8,205.9,,1.3
2006,Hazardous waste incineration plants,31.0,1055.8,347.3,559.6,148.9,,299.3,259.6,39.6,,
2006,Other systems for thermal waste treatment,13.0,477.8,28.5,414.8,34.5,,108.9,2.6,101.8,,4.4
2006,combustion plants,595.0,12330.5,3007.9,8790.3,532.3,,1382.5,217.0,744.6,,420.9
2006,Power plants/thermal power plants,206.0,7395.8,1685.9,5388.9,321.0,,1122.1,133.9,667.1,,321.1
2006,Other combustion systems,389.0,4934.8,1322.0,3401.4,211.3,,260.4,83.1,77.5,,99.8
2006,Alternative fuel power plants,,,,,,,,,,,
2006,Biomass power plants,,,,,,,,,,,
2006,Other power plants,,,,,,,,,,,
2006,Heating plants,,,,,,,,,,,
2006,Equipment for other production purposes,,,,,,,,,,,
2006,Chemical-physical treatment plants,599.0,9787.7,5239.4,4282.3,266.1,,3458.1,945.1,1567.0,,946.0
2006,"Regeneration of acids and bases, solvents",65.0,943.6,766.0,161.6,16.0,,156.0,10.8,59.5,,85.6
2006,"Recovery of metals, solvents, etc.",85.0,816.5,125.4,571.7,119.5,,579.3,27.2,128.8,,423.3
2006,Volume reduction and water separation,184.0,3999.0,2566.8,1425.0,7.3,,1056.7,525.8,514.3,,16.6
2006,Other facilities,265.0,4028.6,1781.2,2124.0,123.3,,1666.1,381.3,864.4,,420.5
2006,Soil treatment plants,121.0,4180.9,2.5,3719.4,459.1,,4044.9,554.6,3013.1,,477.1
2006,Biological treatment plants,1742.0,12382.4,537.9,11693.4,151.1,,8302.4,230.0,770.9,,7301.5
2006,Biowaste composting plants (probably biowaste),325.0,4948.5,38.9,4895.3,14.3,,2611.9,97.4,261.5,,2253.0
2006,Green waste composting plants (mainly green waste),633.0,2628.3,80.4,2546.1,1.7,,1633.0,14.1,147.7,,1471.2
2006,Combined composting and fermentation plants,661.0,3422.8,406.5,2909.7,106.6,,3117.2,111.6,223.1,,2782.6
2006,Sewage sludge composting plants,107.0,1009.9,11.0,972.1,26.9,,730.4,6.5,75.9,,648.0
2006,Other biological treatment facilities,16.0,372.9,1.1,370.3,1.6,,209.8,0.5,62.7,,146.6
2006,Biogas and fermentation plants,,,,,,,,,,,
2006,Mechanical-biological waste treatment plants,45.0,3706.6,16.1,3690.0,0.5,,2990.8,1430.0,1391.4,,169.4
2006,Dismantling companies for end-of-life vehicles,1237.0,488.5,,484.4,4.1,,479.9,1.9,431.8,,46.2
