Year,EAV Code,Waste Description,Number Of Companies,Amount Of Waste Generated (1000t)
2010,EAV-01,waste from the extraction of mineral resources,,
2010,EAV-010101-U,Waste from mining v. metal-containing mineral resources,3.0,1.7
2010,EAV-010102-U,Waste from mining v. non-metal Mineral resources,3.0,13.7
2010,EAV-010304-G,Acid-forming processing residues a. sul. ore,,
2010,EAV-010305-G,Other processing residues with hazardous substances,,
2010,EAV-010306-U,Processing residues (without 010304 and 010305),,
2010,EAV-010307-G,waste from processing metal-bearing mineral resources,,
2010,EAV-010308-U,Dusty and powdery waste (without 010307),,
2010,EAV-010309-U,Red mud from aluminum oxide production (oh.010310),,
2010,EAV-010399-U,processing from metallh. Mineral resources: waste n.e.c.,,
2010,EAV-010407-G,Waste from further processing non-metal natural resources,3.0,1.0
2010,EAV-010408-U,Waste from crushed gravel and rock (excluding 010407),16.0,140.4
2010,EAV-010409-U,sand and clay waste,15.0,15.9
2010,EAV-010410-U,Dusty and powdery waste (without 010407),18.0,41.4
2010,EAV-010411-U,Waste from processing v.potash and rock salt (oh.010407),6.0,10.9
2010,EAV-010412-U,"reprocessing including waste (oh.010407,010411)",,
2010,EAV-010413-U,Waste from stonemasonry and sawing work (without 010407),23.0,69.8
2010,EAV-010499-U,processing v. non-metal Soil waste: waste n.e.c.,7.0,0.3
2010,EAV-010504-U,Muds and waste from freshwater wells,5.0,42.9
2010,EAV-010505-G,Oily drilling muds and wastes,8.0,72.2
2010,EAV-010506-G,Drilling mud and other drilling waste with hazardous substances,3.0,3.1
2010,EAV-010507-U,"Barite-bearing drillings, waste (oh.010505,010506)",,
2010,EAV-010508-U,"chloride content. Drilling cuttings, waste (oh.010505,010506)",7.0,15.4
2010,EAV-010599-U,drilling mud and. other construction waste: waste not otherwise specified,,
2010,EAV-02,"Waste from agriculture, forestry, etc.",,
2010,EAV-020101-U,"Agriculture, among other things: sludge from washing and cleaning processes.",15.0,16.8
2010,EAV-020102-U,Agriculture i.a.: Waste from animal tissue,25.0,64.6
2010,EAV-020103-U,"Agriculture, among other things: waste from plant tissue",88.0,216.7
2010,EAV-020104-U,Agriculture and others: plastic waste (without packaging),49.0,147.7
2010,EAV-020106-U,"Animal excretions, liquid manure/manure/stable manure",61.0,70.8
2010,EAV-020107-U,Waste from forestry,12.0,0.1
2010,EAV-020108-G,Agricultural chemical waste,25.0,1.7
2010,EAV-020109-U,Waste v. Chemistry. f.d. Agriculture(oh.020108),5.0,0.6
2010,EAV-020110-U,"Agriculture, among others: metal waste",30.0,1.2
2010,EAV-020199-U,Agriculture and others: waste not otherwise specified,14.0,1.2
2010,EAV-020201-U,Meat and others: sludges from washing and cleaning processes,55.0,29.7
2010,EAV-020202-U,"Meat, among other things: waste from animal tissue",217.0,450.0
2010,EAV-020203-U,Meat and others: For consumption/processing. unsuitable substances,293.0,429.5
2010,EAV-020204-U,Meat and others: sludge (company waste water tank),2174.0,543.4
2010,EAV-020299-U,"processing of meat, fish, etc.: waste not otherwise specified",60.0,143.1
2010,EAV-020301-U,"Fruit and others: sludge from washing, cleaning proc. i.a.",50.0,92.0
2010,EAV-020302-U,Fruit and others: waste from preservatives,,
2010,EAV-020303-U,Fruit and others: Waste from extraction with solvents,6.0,1.0
2010,EAV-020304-U,Fruit and others: For consumption/processing. unsuitable substances,346.0,321.0
2010,EAV-020305-U,"Fruit, among other things: sludge (in-house waste water tank)",63.0,129.7
2010,EAV-020399-U,"Processing of fruit, vegetables, etc.: waste not otherwise specified",41.0,83.1
2010,EAV-020401-U,Sugar production: beet soil,16.0,1274.8
2010,EAV-020402-U,Sugar manufacturer: Not specific. calcium carbonate sludge,4.0,204.1
2010,EAV-020403-U,Sugar production: sludge (in-house waste water treatment),,
2010,EAV-020499-U,Sugar production: waste n.e.c.,,
2010,EAV-020501-U,Milk processing: For consumption/processing. unsuitable tax,79.0,47.4
2010,EAV-020502-U,Milk processing: sludge (in-house waste water tank),35.0,86.9
2010,EAV-020599-U,Milk processing: waste n.e.c.,6.0,0.4
2010,EAV-020601-U,Bakery and confectionery: For consumption/processing. unsuitable St.,231.0,141.4
2010,EAV-020602-U,"Baked goods, confectionery: waste from preservatives",,
2010,EAV-020603-U,"Baked goods, confectionery: sludge (own waste water treatment)",66.0,27.9
2010,EAV-020699-U,Manufacture of baked goods and confectionery: waste not otherwise specified,45.0,21.2
2010,EAV-020701-U,"Beverages: Waste from laundry, cleaning, etc.",39.0,58.7
2010,EAV-020702-U,Beverages: Waste from alcohol distillation,9.0,189.9
2010,EAV-020703-U,Beverages: Waste from chemical treatment,,
2010,EAV-020704-U,Beverages: For consumption/processing. unsuitable substances,63.0,590.0
2010,EAV-020705-U,Beverages: sludge (in-house waste water treatment),44.0,59.6
2010,EAV-020799-U,Manufacture of beverages: waste n.e.c.,32.0,503.2
2010,EAV-03,"Waste from wood processing, etc.",,
2010,EAV-030101-U,Woodworking including: bark and cork waste,44.0,678.9
2010,EAV-030104-G,"Sawdust, shavings, cuttings, wood, chipboard",57.0,22.3
2010,EAV-030105-U,"Sawdust, chips, cuttings, wood, chipboard. (oh.030104)",856.0,2896.0
2010,EAV-030199-U,"Wood processing, etc.: waste not otherwise specified",40.0,8.5
2010,EAV-030201-G,Halogen-free organic wood preservatives,4.0,0.9
2010,EAV-030202-G,Organochlorine wood preservatives,,
2010,EAV-030203-G,Organometallic wood preservatives,,
