Year,Sector Code,Economic Sector,EAV Code,Waste Description,Number Of Companies,Amount Of Waste Generated (1000t)
2010,WZ08-01-03,"Agriculture And Forestry, Fisheries",EAV-01,waste from the extraction of mineral resources,,
2010,WZ08-01-03,"Agriculture And Forestry, Fisheries",EAV-02,"Waste from agriculture, forestry, etc.",24.0,16.4
2010,WZ08-01-03,"Agriculture And Forestry, Fisheries",EAV-03,"Waste from woodworking, etc.",,
2010,WZ08-01-03,"Agriculture And Forestry, Fisheries",EAV-04,"Waste from the leather, fur and textile industries",,
2010,WZ08-01-03,"Agriculture And Forestry, Fisheries",EAV-05,"Waste from petroleum refining, natural gas purification",,
2010,WZ08-01-03,"Agriculture And Forestry, Fisheries",EAV-06,Waste from inorganic chemical processes,,
2010,WZ08-01-03,"Agriculture And Forestry, Fisheries",EAV-07,Waste from organic chemical processes,3.0,0.0
2010,WZ08-01-03,"Agriculture And Forestry, Fisheries",EAV-08,"Waste from MFSU from coatings, adhesives, etc.",,
2010,WZ08-01-03,"Agriculture And Forestry, Fisheries",EAV-09,Waste from the photographic industry,,
2010,WZ08-01-03,"Agriculture And Forestry, Fisheries",EAV-10,Waste from thermal processes,,
2010,WZ08-01-03,"Agriculture And Forestry, Fisheries",EAV-11,Waste from chemical surface treatment,,
2010,WZ08-01-03,"Agriculture And Forestry, Fisheries",EAV-12,Waste from mechanical shaping processes,,
2010,WZ08-01-03,"Agriculture And Forestry, Fisheries",EAV-13,Oil waste and liquid fuel waste,18.0,0.2
2010,WZ08-01-03,"Agriculture And Forestry, Fisheries",EAV-14,"Waste from organic solvents, coolants",5.0,0.0
2010,WZ08-01-03,"Agriculture And Forestry, Fisheries",EAV-15,"Packaging waste, absorbents, wipes",43.0,13.4
2010,WZ08-01-03,"Agriculture And Forestry, Fisheries",EAV-16,Waste not included elsewhere in the inventory,16.0,0.3
2010,WZ08-01-03,"Agriculture And Forestry, Fisheries",EAV-17,Construction and demolition waste,21.0,1.3
2010,WZ08-01-03,"Agriculture And Forestry, Fisheries",EAV-18,Waste from medical supplies,,
2010,WZ08-01-03,"Agriculture And Forestry, Fisheries",EAV-19,Waste from waste treatment plants e.g.,,
2010,WZ08-01-03,"Agriculture And Forestry, Fisheries",EAV-20,Municipal waste (household waste and similar waste),52.0,8.0
2010,WZ08-01-03,"Agriculture And Forestry, Fisheries",EAV-99,Hazardous waste,,
2010,WZ08-01-03,"Agriculture And Forestry, Fisheries",,In total,55.0,39.6
2010,WZ08-05-02,Mining And Quarrying Of Stone And Earth,EAV-01,Waste from the extraction of mineral resources,11.0,152.7
2010,WZ08-05-02,Mining And Quarrying Of Stone And Earth,EAV-02,"Waste from agriculture, forestry, etc.",13.0,0.2
2010,WZ08-05-02,Mining And Quarrying Of Stone And Earth,EAV-03,"Waste from wood processing, etc.",,
2010,WZ08-05-02,Mining And Quarrying Of Stone And Earth,EAV-04,"Waste from the leather, fur and textile industries",,
2010,WZ08-05-02,Mining And Quarrying Of Stone And Earth,EAV-05,"Waste from petroleum refining, natural gas purification",5.0,2.7
2010,WZ08-05-02,Mining And Quarrying Of Stone And Earth,EAV-06,Waste from inorganic chemical processes,18.0,4.6
2010,WZ08-05-02,Mining And Quarrying Of Stone And Earth,EAV-07,Waste from organic chemical processes,19.0,0.9
2010,WZ08-05-02,Mining And Quarrying Of Stone And Earth,EAV-08,"Waste from MFSU from coatings, adhesives, etc.",20.0,1.8
2010,WZ08-05-02,Mining And Quarrying Of Stone And Earth,EAV-09,Waste from the photographic industry,9.0,0.0
2010,WZ08-05-02,Mining And Quarrying Of Stone And Earth,EAV-10,Waste from thermal processes,5.0,190.4
2010,WZ08-05-02,Mining And Quarrying Of Stone And Earth,EAV-11,Waste from chemical surface treatment,7.0,0.4
2010,WZ08-05-02,Mining And Quarrying Of Stone And Earth,EAV-12,Waste from mechanical shaping processes,24.0,5.2
2010,WZ08-05-02,Mining And Quarrying Of Stone And Earth,EAV-13,waste oil and liquid fuel waste,49.0,8.4
2010,WZ08-05-02,Mining And Quarrying Of Stone And Earth,EAV-14,"Waste from organic solvents, coolants",22.0,0.0
2010,WZ08-05-02,Mining And Quarrying Of Stone And Earth,EAV-15,"Packaging waste, absorbents, wipes",60.0,118.0
2010,WZ08-05-02,Mining And Quarrying Of Stone And Earth,EAV-16,Waste not included elsewhere in the inventory,48.0,17.9
