Year,EAV Code,Waste Source,Number Of Construction Rubble Processing Plants,Input Of Construction Rubble Processing Plants (1000t),Number Of Construction Rubble Processing Plants With Output,Output Of Construction Rubble Processing Plants (1000t)
2006,EAV-01,Waste from the extraction of mineral resources,,,,
2006,EAV-010413-U,Waste from stonemasonry and sawing work (excluding 010407),,,,
2006,EAV-02,"Waste from agriculture, forestry, etc.",,,,
2006,EAV-020401-U,Sugar production: beet soil,,,,
2006,EAV-03,"Waste from wood processing, etc.",,,,
2006,EAV-030310-U,"Fiber waste, fiber, filler and coating sludges",,,,
2006,EAV-05,"Waste from petroleum refining, natural gas purification",,,,
2006,EAV-050117-U,Petroleum refining: bitumen,,,,
2006,EAV-06,Waste from inorganic chemical processes,,,,
2006,EAV-060899-U,"Silicon, silicon compounds: wastes not otherwise specified",,,,
2006,EAV-10,Waste from thermal processes,34.0,483.4,,
2006,EAV-100101-U,"rust and. Boiler ash, slag, boiler (oh.100104)",3.0,27.6,,
2006,EAV-100117-U,Filter dust from co-incineration of waste (oh.100116),,,,
2006,EAV-100201-U,"Iron, steel ind.: Waste from slag processing",4.0,139.1,,
2006,EAV-100202-U,Iron and steel ind.: Unprocessed slag,6.0,24.5,,
2006,EAV-100501-U,"Zinc metallurgy: slag (primary, secondary smelting)",,,,
2006,EAV-100503-G,Zinc Metallurgy: Filter Dust,,,,
2006,EAV-100903-U,"Iron,steel: furnace slag",11.0,128.9,,
2006,EAV-100906-U,Casting molds and sand before casting (oh.100905),,,,
2006,EAV-100908-U,Casting molds and sand after casting (without 100907),5.0,136.5,,
2006,EAV-101008-U,Casting molds and sands after casting (without 101007),,,,
2006,EAV-101112-U,Glass waste (without 101111),,,,
2006,EAV-101201-U,Ceramic products: raw mixtures before firing,,,,
2006,EAV-101203-U,Ceramic products: particles and dust,,,,
2006,EAV-101208-U,"Waste from ceramic products, bricks, etc.",4.0,0.2,,
2006,EAV-101210-U,Solid waste from exhaust gas treatment (oh. 101209),,,,
2006,EAV-101304-U,"Waste from calcination, hydration from quicklime",,,,
2006,EAV-101311-U,"Waste from composite materials (excluding 101309, 101310)",4.0,6.5,,
2006,EAV-101314-U,Concrete waste and concrete slurry,3.0,12.2,,
2006,EAV-12,Waste from mechanical shaping processes,4.0,4.9,,
2006,EAV-120101-U,Iron filings and turnings,,,,
2006,EAV-120103-U,Non-ferrous metal filings and turnings,,,,
2006,EAV-120105-U,plastic shavings and turnings,,,,
2006,EAV-120117-U,Abrasive waste (without 120116),3.0,1.9,,
2006,EAV-13,waste oil and liquid fuel waste,,,3.0,0.0
2006,EAV-130205-G,"Non-chlorinated machines, gears and. lubricating oils",,,,
2006,EAV-130208-G,"Other machine, gear and lubricating oils",,,,
2006,EAV-130501-G,Solid waste from grit chambers and oil/water separators,,,,
2006,EAV-15,"Packaging waste, absorbents, wipes",6.0,9.8,8.0,1.6
2006,EAV-150101-U,Paper and cardboard packaging,3.0,1.0,3.0,0.7
2006,EAV-150102-U,Plastic packaging,,,,
2006,EAV-150103-U,wooden packaging,,,,
2006,EAV-15010600-U,Mixed packaging cannot be differentiated,5.0,8.3,5.0,0.9
2006,EAV-150107-U,Glass packaging,,,,
2006,EAV-150202-G,"Absorbent and filter materials, wipes",,,,
2006,EAV-150203-U,Absorption and filter materials (without 150202),,,,
2006,EAV-16,Waste not included elsewhere in the inventory,11.0,40.1,5.0,0.2
2006,EAV-160103-U,old tires,,,5.0,0.2
2006,EAV-160119-U,Old vehicles: plastics,,,,
